sentence,label
The truth is Lincoln won an Oscar for portraying himself.,Performance Appraisal
"Daniel Day Lewis was born for this role, and nobody could have pulled it off better.",Performance Appraisal
"This character will be remembered forever, as well as the performer.",Performance Appraisal
I am proud to call Daniel Day Lewis one of my favorite actors of all time.,Disposition Bias
"As for the directing, Spielberg never fails to amuse me, he always knows what is good to show in history.One thing I will say is, don't watch this movie if you don't understand politics, it is very heavy on politics.",Disposition Bias
"That being said, not all scenes are about politics, but most of it is.",Moral or Political Projection
"But trust me, if you need to take a government class to understand this film, then it's worth it.As much as I did like the film Argo, I was very disappointed that this didn't win best picture.",Expectation Bias
"This is ultimately the better film, very unsure what was going on.",Comparative Lens
But I know what the better film is.,Comparative Lens
"No exception, probably the best and most accurate history film out there.",Authenticity Bias
Spielberg's recent output has been inconsistent.,Comparative Lens
Which is completely normal but he operated on a different level for so long that seeing not great movies from him is weird.,Expectation Bias
"But with his constant game changing career from every spectrum of movie making he could make crap the rest of his life and it wouldn't effect his legacy.Anyway, Lincoln was a great movie.",Disposition Bias
Spielberg at the top of his game.,Performance Appraisal
What could have played out like a slow drama plays out with quick dialogue and a fast story.,Expectation Bias
Of course any American or human will be invested in this story.,Disposition Bias
And we all know the basic story from school.,Omission Focus
But what we get to see here is the real struggle to end slavery.,Authenticity Bias
And how he held true to the right thing and won.,Moral or Political Projection
"Not because good always triumphs but because he was smart and knew how to navigate the politics to free slaves, end the war and unite the country.You really see the struggle that people went through to fulfill the promise of our forefathers that all men are created equal.",Moral or Political Projection
This was an issue that they couldn't tackle themselves and left for future generations to ratify and Lincoln did it.,Omission Focus
Not only top notch entertainment but this movie does well to remind us of what people did to improve all of our lives and that the right thing isn't easy to do.Life changes so much over the generations that it's hard to put yourself into their shoes and see why they did what they did.,Moral or Political Projection
People look back on those people as racist and wonder why they didn't abolish slavery earlier.,Representation Critique
This movie helps to show what it was like then and how hard change is.,Authenticity Bias
America was born on the backs of the old ways and the change of freedom and equality is a battle that takes many generations.,Moral or Political Projection
Good people have to continue to fight for this until the ignorant thinking is bred out.,Moral or Political Projection
And also we see here that the way politics work is the same as today.,Moral or Political Projection
I was well informed for almost ten 10 before finally seeing this and I was still knocked out.,Expectation Bias
Actually I don't even think it was him in this movie.,Authenticity Bias
His voice didn't sound anything like him.,Authenticity Bias
I think really what his acting did was bring the Abe Lincoln to life that we have heard about.,Performance Appraisal
It was on the page but he acted so genuine and was so likable and soft that he came across as everything I think he's like.,Performance Appraisal
Seems like you couldn't talk to him without him changing your mind or understanding his side.Of course like every Spielberg movie the cast was amazing.,Performance Appraisal
"I watch this movie for.the fourth time, i, once again, wonder why it is rated so low.",Disposition Bias
"As I scroll down through the comments and ratings I see almost nothing but praises for this movie and for the actors, directors, ect...I can't imagine a better recreation of what happened back when the 13th amendment was passed.",Performance Appraisal
"It changed everything happening in the United States, democracy, and the world!Thank God there was such a leader as Lincoln.",Moral or Political Projection
He bravely fought against the tyranny of racism and all that comes with it.,Moral or Political Projection
That slavery ever happened in a free country is absurd to begin with.,Moral or Political Projection
We are still fighting racism.,Moral or Political Projection
We need a leader who will stand up for the rights of ALL PEOPLE!I love this movie!,Disposition Bias
It needs to be rated higher from what I assertain.,Expectation Bias
"It's not just the writing, some terrific scripts don't get translated well and some very iffy scripts turn out pretty amazing final products.",Expectation Bias
By the same token it's also not just the acting or directing either.,Selective Emphasis Bias
"It takes all of the elements we commonly think of like writing, acting, directing, editing, cinematography and a dozen other things, mixes them together, and bakes them into something distinct of the individual ingredients.Some actors and directors seem to have a nose for how to mix those ingredients and experience success well above the norm, but there are never any guarantees, not even for the goats like Spielberg.",Performance Appraisal
"Being well received is really just about many people seeing and enjoying a film and some are enjoyed by lots of people and then quickly fade and are largely forgotten, but masterpieces tend to stick around and get ""discovered"" by audiences over and over because they have something engaging and difficult to replicate that echoes over time.Lincoln's something special is that it seems to open a window onto a small but significant period of the life of one of our greatest presidents, and succeeds to such a degree that you'll feel like in some sense you knew the great man: his genius and his pain, his humor and his struggles, and his morality and resolve.",Performance Appraisal
"Of course, however well researched, and Lincoln was extensively researched, in the end it is an interpretation, not actually a window.",Authenticity Bias
"But the genius of the film is that the illusion is so vibrant, so complete, that you'll swear it must have somehow been a window.Daniel Day-Lewis captured such a convincing vision of the man that Spielberg was moved to tears when filming wrapped and Lewis finally stepped out of character, because Spielberg realized he would never get to ""talk"" to Lincoln again.",Performance Appraisal
"That's how strong the illusion was, and Spielberg managed to capture that essence throughout the film.",Performance Appraisal
"There are so many great scenes to choose from, but for me the scene I always come back to is when Lincoln is struggling with a difficult decision and talks about Euclid's common notions and axioms, a sort of foundational logic for mathematics written around 300 BCE, and integrates one of the basic concepts into reasoning about fairness and equality.",Selective Emphasis Bias
"In the scene you can feel the flow of Lincoln's thoughts, see on his face how he reaches his risky but principled decision, and it is amazing.The supporting cast seems caught in the spell along with the director and contribute flawless performances that contribute to the illusion, no small feat given the size of the cast and number of well known actors.",Performance Appraisal
"There will probably be other films about Lincoln, great films even, but I don't think there will ever be another film that creates an illusion as powerful as Lincoln that gives the viewer the opportunity to see the man, the father, the leader, steering our nation through the greatest crises it's ever experienced, and the doubt and uncertainty and sheer human cost incurred by so many in enacting that change.",Expectation Bias
"It feels bizarre to actually put this into words, but I believe this is Steven Speilberg's finest film.",Disposition Bias
"In no other film are the cinematography, performances, and script in such lockstep perfection.",Selective Emphasis Bias
"Although I call it flawless, I will say that the soundtrack is not one of the best (I cannot recall a single part of it), and I can see how its length and plot may not satisfy all viewers.",Selective Emphasis Bias
"But, simply as performance art, this is incredible.On one hand, you have Spielberg's mastery of the camera.",Performance Appraisal
"Few directors are as good, and here Spielberg mixes his mastery with more natural light and soft lighting than we've ever really seen from him.",Comparative Lens
This is an exceptionally well-shot and well-composed film.,Performance Appraisal
"It is incredibly detailed, and that reflects attention to the background as well.",Performance Appraisal
"The extras, the set design, everything are just top-notch.And then the performances.",Performance Appraisal
There isn't a bad one in the lot.,Disposition Bias
"The film relies on monologues perhaps a bit too heavily and feels like a stage play to an extent, but that is part of the performance of politics, and everyone here is a master at it, from DDL in front all the way to the smaller roles like Jared Harris as Grant or Jackie Earle Haley as Alexander Stephens.",Performance Appraisal
"I don't even know the actor who plays Robert E Lee in a maybe 2 minute non-speaking role, but even he lands it.There is just so much depth here, and you can see aspects of so much of Spielberg's past work teaching him how to produce this film.",Performance Appraisal
We get its weight from Schindler's List.,Comparative Lens
We get its courtroom drama from Amistad.,Comparative Lens
We get the violence and human reflection from Saving Private Ryan.,Comparative Lens
We get the cinematography from Jaws.,Comparative Lens
"It just feels to me as if Spielberg's career was building to this moment, and he put a lot of that history into it.",Disposition Bias
"I loved the performance of Day-Lewis, his wife and Tommy Lee.",Performance Appraisal
"I was loving Day-Lewis Soft Spoken Voice, speaking nature and acting in film.",Performance Appraisal
Very Great Leader Sir Abraham Lincoln Was..,Disposition Bias
He was the leader of Blacks I guess in his era.,Representation Critique
Casting Was Very awesome picked gems from industry.,Performance Appraisal
"Eventually, I can give credit to Direction too.",Disposition Bias
Well Directed by Steven Spielberg and Congrats to whole team of Lincoln who made success film.,Performance Appraisal
Daniel Day Lewis transforms himself so completely into Abraham Lincoln that you forget he is acting.,Performance Appraisal
"Everything about this movie is top notch from the script, actors, speech, costumes, to the cinematography.",Performance Appraisal
"Kudos to everyone involved in this production, especially the screenwriters, Daniel Day Lewis, and Sally Fields who turned in an outstanding performance!",Performance Appraisal
I have seen it three times now and would watch it again.,Disposition Bias
The movie is poorly constructed and misrepresenting life of Ramanujan.,Representation Critique
"I don't like Dev Patel, he has an emotionless personality and does not dive well into the character.",Disposition Bias
"The movie itself focuses more on negative emotions such as hatred for the Indians (referred to as wogs), and then goes on to war scene in which London is getting bombed, Ramanujan being cast as a vegetarian against the backdrop of a meat eating British empire and finally several scenes in which Ramanujan is coughing away due to his declining health.",Representation Critique
There was some math here but no chemistry between Ramanujan and his friend Hardy.,Omission Focus
The only likeable character was Littlewood with his smile and positive attitude inspite of everything.,Selective Emphasis Bias
"For a movie that is trying to teach viewers, it got so much wrong.",Authenticity Bias
I'll name two items that are glaringly wrong.,Omission Focus
"#1 - Cambridge was not bombed during WW1, but for some reason, after our main character is diagnosed with TB, miraculously, it is bombed by a Zeppelin (a slow moving blimp) & a passing student is shown dead before him.",Authenticity Bias
It's like the filmmakers forgot this wasn't WW2.,Authenticity Bias
"Additionally, that HUGE flying balloon (a Zeppelin) would not have just appeared inland like that.",Authenticity Bias
#2 - Another simple Google search will show you that his wife was 10 (that is not a typo) when he married her (he was 22).,Representation Critique
"Evidently, that was the custom for his caste in 1909 when they were married.",Authenticity Bias
Doesn't translate too well in a today's movie world to show an adult marrying a literal child.,Representation Critique
"So, they casted a much older actress to play the part.On top of that & all of the ""white man bad"" stuff, the movie is so boring, and I love slow movies.",Representation Critique
The characters are stodgy or pitiful.,Performance Appraisal
The subject matter is flat.,Omission Focus
"I'm sure there was some movie exec who said, ""Let's make a movie about such complicated math that even scholars don't understand it!""",Omission Focus
"Even with great actors in it, playing hollow characters is at best, yawn worthy.",Performance Appraisal
I saw Dev Patel in it...not Ramanujan.,Representation Critique
It could have been but certainly no where near caliber of Good Will Hunting or A Beautiful Mind.... Just because a movie is set in India doesn't automatically make it good (as a South East Asian).,Comparative Lens
"The directors could have taken it to so many different angles... For instance, did you know the history behind the partition formula?",Omission Focus
"But no, it had to make some generic biopic, Hollywood asumming that audience may not have braincells and need a story to be dumbed down.",Moral or Political Projection
"If you are math nerd, you will be disappointed.",Expectation Bias
"I watched it a long time ago, but I think typical Hollywood injected some sappy love story in it too in the beginning.",Expectation Bias
"An Indian actor would have been a good idea, rather than a partially Indian but obviously white actor who spent a LOT of time in a tanning booth.",Representation Critique
It took a while to unsee Ted.,Disposition Bias
"The life of this dude was incredible and tragic and now my heart hurts (in a good, cathartic sort of way).",Disposition Bias
"I wouldn't be surprised if the whole movie was a cringe for the author to watch, though.",Disposition Bias
"I'm skeptical of the math, I wish they would explain how Ramanujan Overall I somewhat enjoyed this movie but I will never watch it again.",Authenticity Bias
The Man Who Knew Infinity saddens me.,Disposition Bias
"Jeremy Irons and Dev Patel are given very little to work with, whilst trapped in the movie's repetitive narrative.",Omission Focus
The one time the movie's heart has an audible thump is as the two of them try to provide Ramanujan's equations proof.,Selective Emphasis Bias
"This should be the focus of the movie, but instead, we waste our time on this lukewarm character drama.",Omission Focus
"My only guess as to why they didn't delve deeper into the mathematics, is because the studio thought it would bore the audience to tears.",Omission Focus
"However, its exclusion had only the opposite effect.",Omission Focus
"There is nothing abhorrently bad about the movie, but nothing engaging either.",Disposition Bias
I'm rather surprised that this film wasn't produced by Disney.,Expectation Bias
Because it's right up their alley.,Disposition Bias
"Needless to say, if you're not that into math, this film may not be for you.",Disposition Bias
This ultimately cripples any chance of this film being popular.,Omission Focus
It shows so much that this man did but it's lost to anyone that doesn't understand what it means.,Omission Focus
The film just doesn't explain anything.,Omission Focus
It continues to say that the work is important but never shows why.It tells us to be invested without letting us be.,Omission Focus
For someone like me that doesn't know how these formulas are vital to math it's hard to be invested.,Omission Focus
The entire film rests on the work that this man did but is lost among the films own agenda.,Moral or Political Projection
An agenda that brings religion in at the oddest of times.The two main characters will be chatting about proofing the formulas than randomly god and faith will be thrown in.,Moral or Political Projection
The film accidentally implies that you can't be great without God.,Moral or Political Projection
This is the thing that frustrated me about the film most.,Disposition Bias
I get that the main character was very religious but why does the film feel the need to say something like this?One character is religious and the other not.,Representation Critique
And the film continually makes the case that nothing is possible without God.,Moral or Political Projection
If you're not religious than this other wise well intentioned film is very pretentious.,Moral or Political Projection
"The strange part is, the only openly atheist character is the most interesting part of the film.Hardy, played by Jeremy Irons, is the best part of the film.",Selective Emphasis Bias
Not only is his performance excellent as always but his character is actually interesting.,Performance Appraisal
You can tell he has a hard time letting people close to him.,Performance Appraisal
He is cold and sometimes overly harsh but you can see that he cares.,Performance Appraisal
It's a complex character that I would've loved to see more of.,Omission Focus
"Especially considering how bland the main character is.I mean the entire film revolves around this young man and yet, all we know about him is he has a family, is religious, and likes math.",Selective Emphasis Bias
Not knowing what kind of a person makes his struggles boring.,Omission Focus
It's impossible to care about him which makes the majority of this film unbearable to sit through.,Disposition Bias
Not to mention the repulsive cinematography and direction.Nearly half the film is out of focus.,Selective Emphasis Bias
Even when a shot is in focus there is nothing interesting going on to hold your attention.,Selective Emphasis Bias
Most of the shots are within dark rooms that are so poorly lit it's hard to tell where the characters are.,Omission Focus
All they had to do is put one or two more lights up in the room and the shot would have been a hundred times more compelling.,Omission Focus
"But no, no one seemed to care in the slightest.The film is as harmless as an underdog sports movie and that's the problem.",Expectation Bias
It does it's main character wrong by not being anything different.,Omission Focus
It continually says that this man changed the world of mathematics but does so in the most by the numbers way.,Omission Focus
"If it weren't for the great lead performances and Jeremy Irons presence, this film would have been a disaster on every level.",Performance Appraisal
Every biopic seems to fall prey to some intrinsic flaw which dooms it to failure and The Man Who Knew Infinity is no exception.,Expectation Bias
Perhaps it is that every man's life is so complex and multifaceted that the necessary simplification and abbreviation to fit within the scope of a motion picture inevitably invites crassness and phoniness.,Authenticity Bias
"Yes this film is bad, and cringingly so.",Disposition Bias
"Characters are two-dimensional, themes are hackneyed, and sentimentality is rife.",Representation Critique
"There is scarcely a fresh or original moment in it, only a a dire and inevitable predictability to the story.",Expectation Bias
"99.999% of us, the audience, know far too little of mathematics to appreciate the importance of the hero's work.",Omission Focus
There is just no excitement there to lift the story.,Expectation Bias
"Actors Dev Patel, Jeremy Irons and their colleagues extract as much as possible from the material, and the cinematography is fine, otherwise, what can you say?",Performance Appraisal
"It's well intentioned, except for the patronizing treatment of Indians, but sinks under its many failings.",Representation Critique
"In better hands - scripting, directing and casting of main character - this would have been a winner of a movie based on a real-to-life mathematical genius.As it is, the whole thing is simply trite, contrived and a whole waste of a good opportunity.",Expectation Bias
"Right up front, the use of near standard English by the Indian cast who were supposed to be from the ""abject poverty"" of Madras is downright unbelievable and ridiculous.The script doesn't know what it wants to focus on - is it about an Indian displaced in England?",Authenticity Bias
It is all over the place and at the same time pointless and trite.Jeremy Irons is superb and is the only key redeeming feature of the whole movie.,Selective Emphasis Bias
"Cinematography is colour-by-numbers, but good enough.",Selective Emphasis Bias
"Apart from the mundane meandering scripting, Dev Patel is a total miscast.",Performance Appraisal
He is simply a one-dimensional school play actor who simply does not at all have the talent to take on the range a proper lead sorely requires.,Performance Appraisal
"He is just playing himself in all the movies he has done - same doe-eyed expression, same hesitating mannerisms, same scuttling around, same intonation, just same himself - he does not at all inhabit this very important lead character, and his amateurism is just a constant sore annoyance throughout the movie.This movie is a dis-service to Srinivasa Ramanujan.",Performance Appraisal
"It doesn't give any insight into his genius nor a sense of his highly unique and compelling short life.Watch it with little expectations, and it may be mildly entertaining, but never interesting, and certainly never compelling.",Expectation Bias
It is clear what the crew were trying to do when they were creating this true story film but it did not really work.,Expectation Bias
The storyline of this film was not that strong.,Omission Focus
It went in a completely different direction.,Expectation Bias
The cast selection was alright.,Performance Appraisal
They did not fully commit nor connect to the storyline nor to their respective characters.,Performance Appraisal
The cast members needed to work more on their chemistry between each other.,Performance Appraisal
The world of today can be dangerous and unpredictable but it can be a better and safe place if everyone works together.,Moral or Political Projection
This is a true story film that could have been better.,Expectation Bias
"After all the hype, this was pretty disappointing.",Expectation Bias
"The first half of the movie is extremely slow and the so-called relationship between Ramanujan and his wife is nothing less than cringe-worthy - I don't know if it was done on purpose, but there is less than zero chemistry between them, it's like two people who meet for the first time, know nothing about each other and have absolutely nothing in common.",Performance Appraisal
"I understand that as a movie, they wanted to give some background about his early life, but it was way to long and almost irrelevant to the plot and the pacing is extremely slow.The second half of the movie is better, but not great either.",Omission Focus
"It tells a lot about the interaction between Ramanujan and Hardy and not much about the mathematics, but that is expected from a movie intended for the general public.",Expectation Bias
"While it's more interesting than the first half, there is nothing too exciting to make it better than your average clichéd melodrama.",Comparative Lens
"I've also seen the disappointingly poor biography of Stephen Hawking and
this biography is much better.",Expectation Bias
"The focus of the story is on the relationship between the gifted student (Dev Patel) and the experienced professor (Jeremy Irons), and there are the obligatory references to Patel's life in India and problems with an Indian trying to integrate at one of the premier English universities.The film is slow paced and has none of the interest or drama of similar biographies (""Dangerous Mind"", ""Brief History"").",Comparative Lens
"The performances are uniformly good even from the small cameos (Stephen Fry, Kevin McNally).",Performance Appraisal
"On balance, though, there is little to recommend unless you enjoy these kinds of biographies.",Disposition Bias
The problem with this movie is that not a lot happens.,Omission Focus
The maths is too abstract for the average viewer to appreciate the ground breaking nature of S. Ramanujan's work.,Omission Focus
"The best thing about the movie is that it brings to the modern audience an awareness of the genius of Ramanujan - who was apparently every bit Einstein's equal or better, but remains basically unknown outside of maths academia.The movie struggles because it can't build to any kind of dramatic ""Eureka"" moment, when there's a sudden breakthrough that leads to some sort of climax that the general audience knows about.",Expectation Bias
This movie hasn't got that sort of pressure and it doesn't build to any sort of major breakthrough.,Expectation Bias
"It's just an interesting story about a maths genius of the 20th Century who most people have never heard of.The director has obviously tried to build up the love story to give the audience something to connect with, but unfortunately it is largely fictional.",Expectation Bias
"In real life, 21 year old Ramanujan married his young bride who was 9 or 10 at the time.",Authenticity Bias
"The interfering mother- in-law and the star crossed lovers scenario in the movie seems to be pretty fictionalised in an attempt to provide something a little less dry than maths equations.Nevertheless, the movie is beautifully acted.",Authenticity Bias
"When one imagines the most exciting topics for movies, mathematics tends to fall pretty far down the list.",Expectation Bias
"Heck, most students only take math classes because they have no choice, so why should anyone be interested in the story of a young Indian man who revolutionized the mathematics world at Trinity College in Cambridge in the early 20th century?",Disposition Bias
"Trinity College at Cambridge was staffed by some of the smartest, best-educated professors on the planet when this self-taught odd young man appeared with ideas and notebooks filled with equations and concepts that most couldn't even fathom, much less accept.Dev Patel plays Ramanujan, the spirited man from Madras India who accepted his remarkable talent as a gift from God.",Performance Appraisal
His initially difficult relationship with Trinity Professor GH Hardy (Jeremy Irons) was a clash of two men whose passion for math far eclipsed their comfort in the real world.,Performance Appraisal
"Hardy was a bit of an outcast at the university, while Ramanujan struggled to provide for his new wife, and had little patience for those who doubted his work.Writer/director Matt Brown doesn't seem to believe that the relationship between these two gentlemen is strong enough to hold a mainstream audience, so he commits what comes across as an excessive amount of time to the long-distance battles of the wife and mother of this genius.",Omission Focus
"On the math side, Mr. Brown doesn't allow us to get lost in minutiae of math equations, but also misses the mark on just how groundbreaking and extraordinary Ramanujan's work was.",Expectation Bias
"There is little doubt that the story of genius, when combined with the abrasive mentorship, racism, elitism and health challenges provides more than enough material to keep us glued to the screen.",Representation Critique
"The rest is merely distracting.Strong support work is provided by Toby Jones (as Littlewood), Stephen Fry, and Jeremy Northram (as Bertrand Russell), but it's Patel and Irons who carry the weight here.",Performance Appraisal
It's especially rewarding to see Irons as a co-lead again.,Performance Appraisal
"There have been other popular math movies like A Beautiful Mind, Good Will Hunting, and Proof, but it's The Theory of Everything that seems to have the most in common with the story of Ramanujan and Hardy.",Comparative Lens
"The scientist-as-superhero movie genre is more than well-established by now and having seen A Beautiful Mind, The Imitation Game and The Theory of Everything, I will readily admit it is something of a guilty pleasure of mine.",Disposition Bias
"That being said, the narrative of all these movies is basically the same, and The Man Who Knew Infinity doesn't rise above its genre or add anything new at any point.",Omission Focus
"It fails to surprise, to bring wonder to the viewer or to inspire deep thoughts about the scientific subject.",Expectation Bias
"In the aforementioned movies, the main characters all struggle with a variety of challenges they have to overcome, and which ultimately grow into more important story lines than their scientific efforts themselves.",Omission Focus
The reason for that is probably that it's difficult to bring the story of the impact of theoretical science to a visual medium.,Omission Focus
I thought that A Beautiful Mind was ultimately most successful in visualizing the scientific impact of what the mathematician John Nash came up with.,Expectation Bias
The Man Who Knew Infinity doesn't have a similarly powerful (but admittedly crude) metaphor as a Beautiful Mind does and therefore fails to bridge the gap between Ramanujan's work and the average (lay man) viewer.,Comparative Lens
The result is an average movie about an exceptional man.,Expectation Bias
"It's fine if you're looking for a feel-good story in a somewhat-more-intelligent wrapper than your average rom-com or comic-book superhero movie, but don't expect anything particularly impressive.One afterthought: the reference made to Newton inventing gravity is a very basic but unforgivable faux-pas.",Expectation Bias
"For a movie with a science theme that is a painful mistake, especially given the fact that several mathematicians were involved as consultants.",Authenticity Bias
"Since having a decent idea of how knowledge is gathered and how the scientific process works is a must for any self-respecting scientist, I cannot help but wonder who the movie's scientist-consultants were.",Authenticity Bias
It was a pleasure to learn a bit about this brilliant mathematical genius.,Disposition Bias
"The collision of cultures between England and India on the eve of World War I, as depicted in the movie, is entertaining but not terribly revealing.",Omission Focus
"The movie lacks a sense of irony or tragedy, even as the character and the world itself suffers horribly from essentially self inflicted wounds, from racism to the trenches of the western front.",Omission Focus
"We are meant to glory in the hero's ultimate acceptance as a 'fellow', when based on their behavior as shown in the film one might wonder why he would want to spend a minute in this group's company.",Representation Critique
Dev and Jeremy are a feast for the eyes and the soul.,Performance Appraisal
"They act so well, with such conviction and grace.",Performance Appraisal
"Enough said, well worth watching for the acting and the introduction to the life of a seminal mind.",Performance Appraisal
Srinivasa Ramanujan (Dev Patel) is an Indian with no higher learning degrees.,Representation Critique
He leaves behind his disbelieving mother and loving wife for Cambridge.,Representation Critique
Hardy (Jeremy Irons) mentors him but often dismisses his intuitive leaps for more rigorous proofs.,Performance Appraisal
"Being homesick and suffering actual sickness, he struggles against the entrenched establishment and outright prejudice as WWI engulfs the world.It's a tale of inspiration but there isn't much drama in its telling.",Expectation Bias
It is utterly conventional without tension.,Omission Focus
Patel and Irons do yeoman's work bringing life to these real people.,Performance Appraisal
There is simply no whiz bang flash to liven up the story.,Omission Focus
Almost everything is done with unyielding conventionality.,Omission Focus
A little flash from Ramanujan is the biggest emotional lift.,Selective Emphasis Bias
"Otherwise, it remains mostly flat and predictable.",Expectation Bias
The real story behind this had great potential.,Omission Focus
In the end the movie itself is despite some good perfomances just mediocre.,Performance Appraisal
"Dev Patel does an extraordinary portrayal of the Indian mathematician Srinivasa Ramanujan.At the turn of the 19th century, England's prestigious Trinity College, University of Cambridge in England was the home of wealthy and influential scholars and the students came from mainly well to do backgrounds.",Performance Appraisal
"Srinivasa Ramanujan struggled at first at Cambidge feelinf isolated and alone after leaving behind his family in India, and being the victim of prejudice by the British subjects who looked down upon their Indian math wiz.This is a true story of hope, perserverance, and ne man's unique genius in the field of math.",Representation Critique
"It is a true story well worth watching and Dev Patel portrays Srinivasa Ramanujan with the utmost honesty and a heart felt loyalty to his beliefs both in mathematics, as well as his religion.A deserving 6 out of 10 IMDB rating.",Performance Appraisal
You can watch it if you'd like to know about Ramanujan's life but the movie is focuses more on his struggle in life instead of focusing on the genius he was.,Omission Focus
"Srinivasa took him up on the offer, while he also married his girlfriend (Bhise), and he later became a renowned expert in mathematical theories, thanks to Hardy's guidance.The movie is, how can I say this nicely, boring.",Disposition Bias
"I'm sure there's a very inspiring, and quite interesting, story that could have been told, but the filmmakers failed to do so.",Omission Focus
"It's a shame too, because Patel and Irons are both really good actors.",Performance Appraisal
"I'm sure they were both hoping they were working with a much better director, and screenwriter.",Expectation Bias
"Hardy, deserved a much better film adaptation of their story!Watch our movie review show 'MOVIE TALK' at: https://www.youtube.com/watch?v=1M9osPwjfbM",Expectation Bias
"But now, with THE MAN WHO KNEW INFINITY, I am familiar with his story and while I'm not much closer to understanding the math that came to him so easily, I am glad to have learned about him and am glad, in general, that a film was made which will help keep his name out there.In brief, Ramanujan was a self-taught mathematician, a prodigy, living his early adulthood in India, where he essentially hit the top of what he could learn there.",Expectation Bias
"Fortunately, some of his work reached British mathematician and Cambridge instructor G. H. Hardy (played here by Jeremy Irons, giving his very best affable Jeremy Irons performance...sincere and with the most beautiful diction.",Performance Appraisal
Not a criticism...just saying Irons has perfected this kind of role).The movie spends a lot of time on the obstacles Ramanujan faced (Dev Patel plays him with a somewhat feverish passion.,Performance Appraisal
His struggles to get out of India into an institution that might help him grow.,Omission Focus
His struggles to find food to eat in a society that has no understanding of what a vegetarian is.,Representation Critique
His struggles with pompous Brits who look down their noses at him.,Representation Critique
And his many struggles with poor health.Don't take from my tone that this isn't a compelling movie.,Disposition Bias
"While it is largely peopled with ""nerds"", these nerds are all very different from each other, and much of the drama comes from the simple clashing of styles.",Representation Critique
Patel & Irons have great chemistry and spend a lot of time arguing over the need for these proofs.,Performance Appraisal
Ramanujan just KNOWS his ideas are correct; he SEES it clearly in his mind.,Authenticity Bias
"Unless these things resonate for you, there will always be a little emotional remove from the subjects under discussion.",Disposition Bias
"But Irons and Patel sell the heck out of it, so it's easy to go along for the ride.",Performance Appraisal
"There's also an interesting relationship between Hardy and his best friend and fellow mathematician, John Littlewood (the always excellent Toby Jones).",Performance Appraisal
"The cast is peppered with other terrific actors such as Stephen Fry and Jeremy Northam, so if you're a fan of Brit-heavy drama, this film feels like a warm comforter thrown around you.",Disposition Bias
"Patel bursts through all this like a bull in a china shop (though a sickly one) and it does make for some low key fireworks.It's far from the best bio-pic out there, but it's a very solid, engaging, interesting and well-crafted film that I encourage anyone to seek out.",Comparative Lens
"The main characters deserve to be remembered, and the film deserves to be seen.",Disposition Bias
Good story but ruined it directing was missed in this movie and acting not emotional so bad,Performance Appraisal
"Movies about geniuses pose a serious challenge to filmmakers , because the temptation to romanticize is very strong, and yet the director must avoid it to deliver a credible cinematic tale.",Authenticity Bias
The story of Ramanujan's life is intrinsically so interesting and epic that reproducing it on celluloid becomes a trying exercise in subtlety and indulgence.The story and the plot offer little for one to complain about .,Expectation Bias
The casting is wanting .,Performance Appraisal
"Dev Patel , delivers a good performance , but the remaining Indian cast , doesn't fit in well.As far the as the English counterparts are concerned , Jeremy Irons seems a little off colour .",Performance Appraisal
"He gives a few glimpses of his talent sporadically throughout the movie, but seems to be let down by an ordinary screenplay .There is an unkempt skirmish among the rest of the English Characters, in that , the director given the paucity of time, couldn't develop interpersonal backgrounds properly , thereby leaving much to black and white interpretation.The over all tone of the movie is a little off.However,the story keeps the ball rolling and for this reason alone the movie is mildly entertaining .",Expectation Bias
"You will not long for a second helping, but would easily sit through the first screening, even enjoying the drama in real life , as it unfolds on screen.",Expectation Bias
"Hardy who was also his mentor.I liked this movie very much because it was a true story of a person who suffered a lot, facing any difficulties but eventually succeeded in his field.",Disposition Bias
The direction which was made by Matt Brown was very good and I believe that the combination he made between the life of Srinivasa Ramanujan in India and what he sacrificed in order to go to England with the life that he was expecting before arriving in England and what he actually lived there was a very good idea.,Expectation Bias
"I enjoyed also the interpretation of Dev Patel who played as Srinivasa Ramanujan and for one more time, he was very good at it.",Performance Appraisal
Other interpretations that were very good and have to be mentioned are Jeremy Irons who played as Professor G.H.,Selective Emphasis Bias
"Hardy and Toby Jones who played as Littlewood.To sum up, I believe that ""The Man Who Knew Infinity"" is a beautiful movie with a great plot based on an incredible person and pioneer in mathematics.",Disposition Bias
I strongly recommend everyone to watch it because it's a life lesson from which everybody will gain something by watching it.,Disposition Bias
"Biopics have always interested me, regardless of whether liberties are taken with the facts (the case with quite a lot) many of them are very well made and fascinating while also featuring lead performances that do the subject in question justice.",Disposition Bias
"Srinivasa Ramanujan, his story and his ground-breaking contributions to mathematics also fascinate and worth telling and looking up, and it was great to have the opportunity to have them better known.Another selling point for me was Jeremy Irons, have always loved him if again more for his early work up to 'Lolita'.",Disposition Bias
"Although he is deservedly lauded by many, to me he is deserving of more credit, due to generally being restricted to (mostly) supporting roles in hit (this, 'The Borgias', 'Margin Call' and 'Henry IV' for examples) and miss ('Assassins Creed', 'Batman v Superman', 'The Time Machine', though he was among the better assets in all three, and especially 'Dungeons and Dragons' which is in every way indefensible) output since 'Lolita' that don't show his full talent, even when in a vast majority of them he is one of the bright spots, that people sometimes forget how brilliant a lot of his early work is.",Selective Emphasis Bias
